Season,Month,Date,Temperature 
Winter,Jan,1,2.4
Winter,Jan,2,2.3
Winter,Jan,3,2.4
Winter,Jan,4,2.8
Winter,Jan,5,2.5
Winter,Jan,6,2.4
Winter,Jan,7,2.8
Winter,Jan,8,2.3
Winter,Jan,9,2.4
Winter,Jan,10,2.8
Winter,Jan,11,2.4
Winter,Jan,12,2.5
Winter,Jan,13,2.6
Winter,Jan,14,2.8
Winter,Jan,15,3.4
Winter,Jan,16,3.9
Winter,Jan,17,3.3
Winter,Jan,18,3.3
Winter,Jan,19,2.8
Winter,Jan,20,2.4
Winter,Jan,21,2.5
Winter,Jan,22,2.3
Winter,Jan,23,2.7
Winter,Jan,24,2.4
Winter,Jan,25,3.5
Winter,Jan,26,2.5
Winter,Jan,27,2.6
Winter,Jan,28,2.8
Winter,Jan,29,3.1
Winter,Jan,30,2.5
Winter,Jan,31,2.4
Summer,Feb,1,3.1
Summer,Feb,2,3.3
Summer,Feb,3,3.3
Summer,Feb,4,3.9
Summer,Feb,5,3.3
Summer,Feb,6,3.1
Summer,Feb,7,2.8
Summer,Feb,8,2.9
Summer,Feb,9,3.4
Summer,Feb,10,3
Summer,Feb,11,3.5
Summer,Feb,12,3.2
Summer,Feb,13,2.8
Summer,Feb,14,3.7
Summer,Feb,15,3.7
Summer,Feb,16,3.4
Summer,Feb,17,3.2
Summer,Feb,18,2.6
Summer,Feb,19,2.8
Summer,Feb,20,3
Summer,Feb,21,4
Summer,Feb,22,3.9
Summer,Feb,23,3.3
Summer,Feb,24,3.2
Summer,Feb,25,2.8
Summer,Feb,26,2.9
Summer,Feb,27,3.3
Summer,Feb,28,3
Summer,Mar,1,3.2
Summer,Mar,2,2.7
Summer,Mar,3,2.5
Summer,Mar,4,3.6
Summer,Mar,5,3.3
Summer,Mar,6,2.8
Summer,Mar,7,2.7
Summer,Mar,8,3.2
Summer,Mar,9,3.2
Summer,Mar,10,2.6
Summer,Mar,11,3.7
Summer,Mar,12,3.1
Summer,Mar,13,3.3
Summer,Mar,14,3
Summer,Mar,15,3.2
Summer,Mar,16,2.7
Summer,Mar,17,2.5
Summer,Mar,18,2.9
Summer,Mar,19,3.1
Summer,Mar,20,3.3
Summer,Mar,21,3.4
Summer,Mar,22,2.5
Summer,Mar,23,2.6
Summer,Mar,24,3
Summer,Mar,25,3.3
Summer,Mar,26,3.4
Summer,Mar,27,2.6
Summer,Mar,28,3.9
Summer,Mar,29,3.8
Summer,Mar,30,3.4
Summer,Mar,31,3.3
Summer,Apr,1,2.6
Summer,Apr,2,3.4
Summer,Apr,3,3.4
Summer,Apr,4,3.2
Summer,Apr,5,3
Summer,Apr,6,3.2
Summer,Apr,7,3.2
Summer,Apr,8,3.1
Summer,Apr,9,3.2
Summer,Apr,10,4
Summer,Apr,11,4.1
Summer,Apr,12,2.5
Summer,Apr,13,3.8
Summer,Apr,14,2.8
Summer,Apr,15,3
Summer,Apr,16,3
Summer,Apr,17,3.8
Summer,Apr,18,3.6
Summer,Apr,19,2.6
Summer,Apr,20,3.7
Summer,Apr,21,2.6
Summer,Apr,22,2.7
Summer,Apr,23,2.8
Summer,Apr,24,3.2
Summer,Apr,25,3.2
Summer,Apr,26,3.4
Summer,Apr,27,2.6
Summer,Apr,28,2.8
Summer,Apr,29,3
Summer,Apr,30,2.5
Summer,May,1,2.6
Summer,May,2,3.1
Summer,May,3,2.8
Summer,May,4,3.6
Summer,May,5,3.1
Summer,May,6,3.3
Summer,May,7,3.2
Summer,May,8,2.6
Summer,May,9,3.2
Summer,May,10,3.2
Summer,May,11,2.7
Summer,May,12,3.4
Summer,May,13,3.3
Summer,May,14,2.9
Summer,May,15,2.9
Summer,May,16,3.2
Summer,May,17,3.8
Summer,May,18,2.8
Summer,May,19,3.4
Summer,May,20,4
Summer,May,21,3.6
Summer,May,22,3
Summer,May,23,3.1
Summer,May,24,2.9
Summer,May,25,3.2
Summer,May,26,2.6
Summer,May,27,2.8
Summer,May,28,3.7
Summer,May,29,3.8
Summer,May,30,3.1
Summer,May,31,3.3
Rainy,Jun,1,3.2
Rainy,Jun,2,3.9
Rainy,Jun,3,2.9
Rainy,Jun,4,3.1
Rainy,Jun,5,2.8
Rainy,Jun,6,2.8
Rainy,Jun,7,3.9
Rainy,Jun,8,2.5
Rainy,Jun,9,3.3
Rainy,Jun,10,3.9
Rainy,Jun,11,2.8
Rainy,Jun,12,2.8
Rainy,Jun,13,2.5
Rainy,Jun,14,2.5
Rainy,Jun,15,2.6
Rainy,Jun,16,2.5
Rainy,Jun,17,2.3
Rainy,Jun,18,2.5
Rainy,Jun,19,4
Rainy,Jun,20,2.8
Rainy,Jun,21,3.1
Rainy,Jun,22,3.2
Rainy,Jun,23,2.2
Rainy,Jun,24,2.8
Rainy,Jun,25,3.7
Rainy,Jun,26,3.3
Rainy,Jun,27,3.3
Rainy,Jun,28,2.5
Rainy,Jun,29,2.9
Rainy,Jun,30,2.5
Rainy,Jul,1,2.5
Rainy,Jul,2,2.5
Rainy,Jul,3,2.5
Rainy,Jul,4,2.7
Rainy,Jul,5,3.4
Rainy,Jul,6,2.5
Rainy,Jul,7,2.8
Rainy,Jul,8,2.8
Rainy,Jul,9,3.7
Rainy,Jul,10,4.2
Rainy,Jul,11,2.9
Rainy,Jul,12,2.8
Rainy,Jul,13,3.9
Rainy,Jul,14,3.3
Rainy,Jul,15,3.3
Rainy,Jul,16,2.9
Rainy,Jul,17,3.6
Rainy,Jul,18,2.8
Rainy,Jul,19,2.3
Rainy,Jul,20,2.5
Rainy,Jul,21,2.8
Rainy,Jul,22,2.5
Rainy,Jul,23,2.5
Rainy,Jul,24,3.2
Rainy,Jul,25,3.1
Rainy,Jul,26,2.3
Rainy,Jul,27,2.5
Rainy,Jul,28,3.8
Rainy,Jul,29,3.2
Rainy,Jul,30,2.8
Rainy,Jul,31,3.1
Rainy,Aug,1,3.4
Rainy,Aug,2,3.3
Rainy,Aug,3,3.4
Rainy,Aug,4,3.6
Rainy,Aug,5,2.9
Rainy,Aug,6,2.9
Rainy,Aug,7,2.5
Rainy,Aug,8,2.4
Rainy,Aug,9,2.3
Rainy,Aug,10,2.3
Rainy,Aug,11,3.5
Rainy,Aug,12,2.8
Rainy,Aug,13,3.8
Rainy,Aug,14,3.4
Rainy,Aug,15,4
Rainy,Aug,16,2.4
Rainy,Aug,17,2.8
Rainy,Aug,18,3.1
Rainy,Aug,19,3.3
Rainy,Aug,20,2.8
Rainy,Aug,21,3.4
Rainy,Aug,22,4.4
Rainy,Aug,23,2.5
Rainy,Aug,24,2.5
Rainy,Aug,25,2.3
Rainy,Aug,26,2.4
Rainy,Aug,27,2.7
Rainy,Aug,28,2.3
Rainy,Aug,29,2.5
Rainy,Aug,30,3.3
Rainy,Aug,31,3.9
Rainy,Sep,1,3.1
Rainy,Sep,2,4.1
Rainy,Sep,3,2.8
Rainy,Sep,4,3.2
Rainy,Sep,5,3.1
Rainy,Sep,6,4.1
Rainy,Sep,7,3.3
Rainy,Sep,8,4.1
Rainy,Sep,9,5
Rainy,Sep,10,2.8
Rainy,Sep,11,2.4
Rainy,Sep,12,2.7
Rainy,Sep,13,2.9
Rainy,Sep,14,3.2
Rainy,Sep,15,2.3
Rainy,Sep,16,2.5
Rainy,Sep,17,3.3
Rainy,Sep,18,3.5
Rainy,Sep,19,3.1
Rainy,Sep,20,5
Rainy,Sep,21,3
Rainy,Sep,22,3.1
Rainy,Sep,23,3.7
Rainy,Sep,24,3.6
Rainy,Sep,25,2.6
Rainy,Sep,26,3.9
Rainy,Sep,27,3.3
Rainy,Sep,28,2.9
Rainy,Sep,29,1.7
Rainy,Sep,30,2.6
Winter,Oct,1,2.8
Winter,Oct,2,2.7
Winter,Oct,3,2.8
Winter,Oct,4,2.4
Winter,Oct,5,2.5
Winter,Oct,6,2.8
Winter,Oct,7,2.3
Winter,Oct,8,3.5
Winter,Oct,9,2.5
Winter,Oct,10,2.6
Winter,Oct,11,2.9
Winter,Oct,12,2.5
Winter,Oct,13,3.4
Winter,Oct,14,3.1
Winter,Oct,15,3.3
Winter,Oct,16,2.4
Winter,Oct,17,2.7
Winter,Oct,18,3
Winter,Oct,19,2.6
Winter,Oct,20,2.2
Winter,Oct,21,2.6
Winter,Oct,22,2.3
Winter,Oct,23,3.6
Winter,Oct,24,2.9
Winter,Oct,25,2.8
Winter,Oct,26,2.5
Winter,Oct,27,2.5
Winter,Oct,28,3.8
Winter,Oct,29,2.8
Winter,Oct,30,3
Winter,Oct,31,3.1
Winter,Nov,1,3.1
Winter,Nov,2,2.3
Winter,Nov,3,1.9
Winter,Nov,4,2.5
Winter,Nov,5,2.8
Winter,Nov,6,2.3
Winter,Nov,7,2.5
Winter,Nov,8,3.1
Winter,Nov,9,2.3
Winter,Nov,10,2.9
Winter,Nov,11,2.4
Winter,Nov,12,2.8
Winter,Nov,13,2.2
Winter,Nov,14,2.5
Winter,Nov,15,2.6
Winter,Nov,16,2.8
Winter,Nov,17,3
Winter,Nov,18,3
Winter,Nov,19,3.1
Winter,Nov,20,3.3
Winter,Nov,21,2.3
Winter,Nov,22,2.5
Winter,Nov,23,2.3
Winter,Nov,24,2.3
Winter,Nov,25,2.5
Winter,Nov,26,2.4
Winter,Nov,27,2.3
Winter,Nov,28,2.5
Winter,Nov,29,2.6
Winter,Nov,30,2.8
Winter,Dec,1,3.3
Winter,Dec,2,3.6
Winter,Dec,3,2.9
Winter,Dec,4,2.8
Winter,Dec,5,2.2
Winter,Dec,6,3
Winter,Dec,7,3.1
Winter,Dec,8,3.3
Winter,Dec,9,2.2
Winter,Dec,10,2.2
Winter,Dec,11,2.4
Winter,Dec,12,2.3
Winter,Dec,13,2.1
Winter,Dec,14,2.1
Winter,Dec,15,2.3
Winter,Dec,16,2.5
Winter,Dec,17,2.5
Winter,Dec,18,2.5
Winter,Dec,19,2.5
Winter,Dec,20,2.5
Winter,Dec,21,2.6
Winter,Dec,22,3.3
Winter,Dec,23,3
Winter,Dec,24,3.7
Winter,Dec,25,3.2
Winter,Dec,26,2.7
Winter,Dec,27,2.7
Winter,Dec,28,2.3
Winter,Dec,29,2.6
Winter,Dec,30,2.3
Winter,Dec,31,2.9
